Title,Category,Description,Reviews,Rating
The Great Gatsby,Fictional,The Great Gatsby is a 1925 novel by American writer F. Scott Fitzgerald. Set in the Jazz Age on Long Island,This book was a page-turner...,4.5
The 4-Hour workweek,Business,"The 4-Hour Workweek: Escape 9?5, Live Anywhere, and Join the New Rich is a self-help book",Inspirational and informative...,4
Jane Eyre,Fictional,Jane Eyre is a novel by the English writer Charlotte Brontë. It was published under her pen name "Currer Bell"  ,I couldn't put it down!,4.7
The Power of Now,Spiritual,The Power of Now: A Guide to Spiritual Enlightenment is a book by Eckhart Tolle. It presents itself,Life-changing and profound...,4.8
One Hundred Years of solitude,Fictional,One Hundred Years of Solitude is a 1967 novel by Colombian author Gabriel García Márquez that tells,A must-read for fiction lovers...,4.6
Siddhartha,Spiritual,Siddhartha: An Indian novel is a 1922 novel by Hermann Hesse that deals with the spiritual ,Amazing book must read,4.8
How to win freinds and influence people ,Business,How to Win Friends and Influence People is a 1936 self-help book written by Dale Carnegie. ,outstanding book,4.9
Anna Karenina,Fictional,"Anna Karenina is a novel by the Russian author Leo Tolstoy, first published in book form in 1878. Considered to be one of the greatest works of literature ever written, Tolstoy himself called it his first true novel.",amazing one,4
Zero to one,Business,"Zero to One: Notes on Startups, or How to Build the Future is a 2014 book by the American entrepreneur and investor Peter Thiel co-written with Blake Masters. ",what a book ,4.3
Election,Comedy,"Election is a 1998 novel by Tom Perrotta about a high school history teacher who attempts to sabotage a manipulative, ambitious girl's campaign to become school president. The novel was adapted into a film of the same title. Shooting occurred in 1997, prior to publication, but the film was not released until 1999.",10 out of 10,5
Bird Box,Horror,"Bird Box is a 2014 post-apocalyptic novel and the debut novel by American writer and singer Josh Malerman. The book was first published in the United Kingdom on March 27, 2014, through Harper Voyager and in the United States on May 13, 2014, through Ecco Press",superb book ever,5
The Secret,Spiritual,"The Secret is a 2006 self-help book by Rhonda Byrne, based on the earlier film of the same name. It is based on the belief of the pseudoscientific law of attraction, which claims that thoughts can change a person's life directly. The book alleges energy as assurance of its effectiveness.",i can't wait for it,3.9
Good to Great,Business,"Good to Great: Why Some Companies Make the Leap... and Others Don't is a management book by Jim C. Collins that describes how companies transition from being good companies to great companies, and how most companies fail to make the transition.",i just read it twice a day,4.6
The Four agreements,Spiritual,The Four Agreements: A Practical Guide to Personal Freedom is a self-help book by the author Don Miguel Ruiz. The book outlines a code of conduct based on ancient Toltec wisdom ? advocating freedom from self-limiting beliefs which bring suffering and limitation to one's life. ,the rating says it all,4.8
The Bhagavad Gita,Spiritual,"The Bhagavad Gita, often referred to as the Gita, is a 700-verse Hindu scripture, which is part of the epic Mahabharata. It forms the chapters 23?40 of book 6 of the Mahabharata called the Bhishma Parva. The work is dated to the second half of the first millennium BCE.",a must for students,4
The Handmaid's Tale,Fictional,"The Handmaid's Tale is a futuristic dystopian novel by Canadian author Margaret Atwood published in 1985. It is set in a near-future New England in a patriarchal, white supremacist, totalitarian theonomic state known as the Republic of Gilead, which has overthrown the United States government.",unexpected one,4.8
Be Here Now,Spiritual,"Be Here Now, or Remember, Be Here Now, is a 1971 book on spirituality, yoga, and meditation by the American yogi and spiritual teacher Ram Dass. The core book was first printed in 1970 as From Bindu to Ojas and its current title comes from a statement his guide, Bhagavan Das, made during Ram Dass's journeys in India.",most loved book,5
The 7 Habits,Business,"The 7 Habits of Highly Effective People, first published in 1989, is a business and self-help book written by Stephen R. Covey. Covey defines effectiveness as the balance of obtaining desirable results with caring for that which produces those results.",a lifechanging book,3
Nineteen Eighty-Four,Fictional,"George Orwell. In a dystopian society where Big Brother watches everyone, Winston Smith attempts to rebel against the Party in the ...",Excellent book ever,4.6
The Haunting of Hill House,Horror,"The Haunting of Hill House is a 1959 gothic horror novel by American author Shirley Jackson. It was a finalist for the National Book Award and has been made into two feature films and a play, and is the basis of a Netflix series. The book is dedicated to Leonard Brown, Jackson's English teacher at Syracuse University.",such a cute story,4.1
The Sellout,Comedy,"The Sellout is a 2015 novel by Paul Beatty published by Farrar, Straus and Giroux, and in the UK by Oneworld Publications in 2016. The novel takes place in and around Los Angeles, California, and muses about the state of racial relations in the U.S. today.",Banger one,4.2
Ring,Horror,"Ring is a Japanese mystery horror novel by Koji Suzuki first published in 1991, and set in modern-day Japan. The novel was the first in the Ring novel series, and the first of a trilogy, along with two sequels: Spiral and Loop.",very horror,4.9
The Art of Happiness,Spiritual,"The Art of Happiness is a book by the 14th Dalai Lama and Howard Cutler, a psychiatrist who posed questions to the Dalai Lama.",relaxing book ever,4.3
Cold Comfort Farm,Comedy,"Cold Comfort Farm is a comic novel by English author Stella Gibbons, published in 1932. It parodies the romanticised, sometimes doom-laden accounts of rural life popular at the time, by writers such as Mary Webb",this one is the boss,5
Ghost Story,Horror,"Ghost Story is a horror novel by American writer Peter Straub. It was published on January 1, 1979, by Coward, McCann and Geoghegan, and adapted as a 1981 horror film, minus the fifth protagonist, Lewis Benedikt. It was a watershed in Straub's career, becoming a national bestseller and cementing his reputation",something special,3.8
catch-22,Comedy,Catch-22 is a satirical war novel by American author Joseph Heller. He began writing it in 1953; the novel was first published in 1961.,very beautiful,3.9
The Exorcist,Horror,"The Exorcist is a 1971 horror novel written by American writer William Peter Blatty and published by Harper & Row. The book details the demonic possession of eleven-year-old Regan MacNeil, the daughter of a famous actress, and the two priests who attempt to exorcise the demon.",over hyped book ,4.8
To Kill a Mockingbird,Fictional,"To Kill a Mockingbird is a novel by the American author Harper Lee. It was published in 1960 and was instantly successful. In the United States, it is widely read in high schools and middle schools.",such a nice book,4.6
The Color purple,Fictional,The Color Purple is a 1982 epistolary novel by American author Alice Walker which won the 1983 Pulitzer Prize for Fiction and the National Book Award for Fiction. It was later adapted into a film and musical of the same name.,familes must read,5
Born a Crime,Comedy,"Born a Crime: Stories from a South African Childhood is an autobiographical comedy book written by South African comedian Trevor Noah, published in 2016. The book focuses on Noah's childhood growing up in South Africa after he was born of an illegal interracial relationship during the apartheid era",student can't ignore this one,4
The Shining,Horror,The Shining is a 1977 horror novel by American author Stephen King. It is King's third published novel and first hardcover bestseller; its success firmly established King as a preeminent author in the horror genre. ,no words to explain,5
Good Omens,Comedy,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch is a 1990 novel written as a collaboration between the English authors Terry Pratchett and Neil Gaiman. The book is a comedy about the birth of the son of Satan and the coming of the End Times.",it Rocks,4.8
Beloved,Fictional,"Beloved is a 1987 novel by American novelist Toni Morrison. Set in the period after the American Civil War, the novel tells the story of a dysfunctional family of formerly enslaved people whose Cincinnati home is haunted by a malevolent spirit.",whoooh..nice one,4.3
Things Fall Apart,Fictional,"Things Fall Apart is the debut novel by a Nigerian author, Chinua Achebe, first published in 1958. It depicts pre-colonial life in Igboland and the invasion by Europeans during the late 19th century. It is seen as the archetypal modern African novel in English, and one of the first to receive global critical acclaim.",Amazing book ever,3.2
